sourceNeuron;targetNeuron;w
0;0;0.101798475
0;1;-0.21774906
0;2;-0.10256994
0;3;-0.17223676
1;0;-0.86098045
1;1;-0.96961015
1;2;-1.3255944
1;3;-0.55032194
2;0;-0.04428357
2;1;-0.13554361
2;2;0.10392046
2;3;0.13559192
3;0;-0.17449379
3;1;0.09547874
3;2;-0.08862333
3;3;0.17537194
4;0;-0.9351541
4;1;-0.04777828
4;2;-0.1919296
4;3;-0.23555872
5;0;0.12242252
5;1;0.12469548
5;2;-0.21767256
5;3;-0.24879067
6;0;-0.96381104
6;1;-0.93239784
6;2;-0.9617508
6;3;-0.3991805
7;0;-0.14674786
7;1;-0.34606025
7;2;0.28839856
7;3;-0.5863465
8;0;0.017582787
8;1;-0.15171604
8;2;-0.26718467
8;3;-0.0037420536
9;0;-0.30010578
9;1;-0.10101558
9;2;-0.048948202
9;3;-0.054558583
10;0;0.21069923
10;1;-0.2546694
10;2;-0.0068196063
10;3;0.11842194
11;0;-0.25779873
11;1;-0.19532153
11;2;0.14634237
11;3;0.1083895
12;0;0.3414729
12;1;-0.15467505
12;2;-0.16558655
12;3;0.19032693
13;0;0.1733827
13;1;0.23411348
13;2;-0.17790209
13;3;-0.1301185
14;0;-0.12725607
14;1;-0.22408882
14;2;-0.7325481
14;3;-0.30881605
15;0;-0.030676296
15;1;0.49509367
15;2;-0.6275169
15;3;-0.16258888
16;0;0.18143743
16;1;-0.00049405225
16;2;-0.41929027
16;3;-0.058047254
17;0;0.1524635
17;1;0.033063598
17;2;0.18181486
17;3;-0.0014607529
18;0;-0.0031884103
18;1;0.099493526
18;2;0.07782485
18;3;-0.021696433
19;0;-0.1940063
19;1;0.09477984
19;2;-0.101422116
19;3;0.14935584
20;0;0.67498344
20;1;0.33977848
20;2;-0.14152177
20;3;0.30699715
21;0;-0.23229243
21;1;0.18028225
21;2;0.41327354
21;3;0.27378598
22;0;-0.22888114
22;1;1.1592782
22;2;-0.3230696
22;3;0.8014753
23;0;0.13288401
23;1;0.35046405
23;2;-0.14244598
23;3;-0.97306377
24;0;-0.021769956
24;1;-0.1672696
24;2;0.07158469
24;3;-0.2514732
25;0;0.453144
25;1;0.35036278
25;2;0.017307172
25;3;1.1109142
26;0;-0.21411972
26;1;-0.030750757
26;2;0.22424378
26;3;-0.0768758
27;0;-0.14258435
27;1;-0.22318818
27;2;0.0016810047
27;3;-0.21892029
28;0;-0.11247545
28;1;-0.24560414
28;2;0.18589154
28;3;-0.0057507358
29;0;0.25657925
29;1;-0.17590787
29;2;-0.05955754
29;3;0.43888682
30;0;0.93338627
30;1;0.44300973
30;2;0.7380111
30;3;0.9625635
31;0;-0.04595038
31;1;-0.05134756
31;2;-0.017402623
31;3;-0.22649372
32;0;-0.30019933
32;1;-0.089552134
32;2;0.0730471
32;3;-0.08765917
33;0;-0.00941636
33;1;-0.019487374
33;2;0.36139968
33;3;0.095026076
34;0;-0.17668866
34;1;0.018065805
34;2;-0.27368033
34;3;-0.015390668
35;0;0.07875494
35;1;-0.1444469
35;2;-0.051616088
35;3;0.033067886
36;0;0.21259828
36;1;-0.36282578
36;2;0.26584232
36;3;2.072726
37;0;-0.65662515
37;1;0.06287414
37;2;0.31952178
37;3;0.2507518
38;0;-0.18283
38;1;-0.14803568
38;2;-0.1958135
38;3;0.12730134
39;0;0.171826
39;1;0.21885657
39;2;-0.19814284
39;3;-0.08604319
40;0;-0.29014695
40;1;-0.20467018
40;2;-0.23508365
40;3;-0.7001482
41;0;0.5257312
41;1;0.15723687
41;2;-0.12162843
41;3;0.9320529
42;0;1.491731
42;1;0.18311748
42;2;0.5210178
42;3;1.9733897
43;0;-0.0030292869
43;1;-0.17084786
43;2;-0.26464367
43;3;-0.003542751
44;0;0.24610627
44;1;0.9485194
44;2;0.38029703
44;3;0.08878976
45;0;0.12936059
45;1;0.3909759
45;2;-0.26925793
45;3;0.6551102
46;0;0.17402768
46;1;0.101595685
46;2;-0.18430819
46;3;-0.61053705
47;0;-0.13466084
47;1;-0.24638817
47;2;-0.10898952
47;3;0.2718355
48;0;1.1540866
48;1;1.3673171
48;2;0.9948519
48;3;1.1119014
49;0;1.5464119
49;1;1.6360519
49;2;1.761995
49;3;1.7828335
50;0;0.6047499
50;1;0.9933179
50;2;0.5129179
50;3;-0.48142657
51;0;0.1675245
51;1;0.022114344
51;2;0.3310328
51;3;0.05496111
52;0;0.106044255
52;1;0.60759413
52;2;-0.4248678
52;3;-0.16652548
53;0;0.19538313
53;1;-0.22996631
53;2;0.3449794
53;3;-0.25541696
54;0;0.35077748
54;1;-0.3252292
54;2;-0.7341415
54;3;0.36789206
55;0;1.2910407
55;1;0.78968114
55;2;0.748399
55;3;1.8491536
56;0;0.89829105
56;1;0.8203713
56;2;1.0511788
56;3;1.453294
57;0;0.15512341
57;1;0.060219068
57;2;0.14516242
57;3;0.04998563
58;0;0.9494071
58;1;1.6730919
58;2;1.5992885
58;3;-0.37924448
59;0;0.22398582
59;1;-0.27703285
59;2;0.020364314
59;3;0.17408213
60;0;0.44617382
60;1;-0.05630847
60;2;0.43343616
60;3;-0.16401851
61;0;-0.031507272
61;1;-0.33386436
61;2;0.09833065
61;3;0.31192362
62;0;1.0516891
62;1;0.47113854
62;2;0.6954447
62;3;-0.8567505
63;0;0.27215996
63;1;-0.5448796
63;2;-0.6283492
63;3;-0.090065725
64;0;-0.27591476
64;1;0.22112955
64;2;0.08102204
64;3;0.6661428
65;0;-0.60656506
65;1;-0.043545667
65;2;-0.46855956
65;3;-0.6435277
66;0;-0.16973831
66;1;-0.06413349
66;2;-0.21597376
66;3;-0.64558965
67;0;0.034087837
67;1;0.12574065
67;2;0.22888908
67;3;0.17074871
68;0;-0.24768768
68;1;-0.0015226
68;2;-0.048054174
68;3;0.027197674
69;0;0.118498445
69;1;-0.114172176
69;2;-0.09178813
69;3;-0.06235622
70;0;-0.31181923
70;1;0.4164746
70;2;0.6168652
70;3;0.45002538
71;0;0.36990786
71;1;0.13096787
71;2;0.54393137
71;3;0.9381436